"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Manitoba,0.06,0.06,0
7,Manitoba,0.16,0.16,0
14,Manitoba,0.25,0.25,0
21,Manitoba,0.63,0.57,0.06
28,Manitoba,1.2,1.04,0.16
35,Manitoba,1.87,1.63,0.25
42,Manitoba,2.35,1.74,0.62
49,Manitoba,2.44,1.45,0.99
56,Manitoba,2.53,1.05,1.48
63,Manitoba,2.63,0.8,1.83
70,Manitoba,3.38,1.28,2.1
77,Manitoba,4.31,2.11,2.2
84,Manitoba,5.24,2.84,2.4
91,Manitoba,6.57,3.42,3.15
98,Manitoba,8.54,4.56,3.98
105,Manitoba,10.72,6.26,4.46
112,Manitoba,15.65,10.69,4.97
119,Manitoba,19.41,14.35,5.06
126,Manitoba,25.34,20.16,5.18
133,Manitoba,29.89,24.58,5.31
140,Manitoba,34.34,28.85,5.49
147,Manitoba,40.64,34.78,5.86
154,Manitoba,46.64,40.35,6.29
161,Manitoba,52.83,45.17,7.66
