"Days since December 19, 2020",Province,%1dose,%partially,%full
7,New Brunswick,0.33,0.33,0
14,New Brunswick,0.37,0.37,0
21,New Brunswick,0.8,0.8,0
28,New Brunswick,1.01,0.68,0.33
35,New Brunswick,1.47,1.11,0.36
42,New Brunswick,1.64,1.07,0.57
49,New Brunswick,1.7,1,0.69
56,New Brunswick,1.75,0.79,0.96
63,New Brunswick,1.95,0.54,1.41
70,New Brunswick,2.77,1.22,1.55
77,New Brunswick,3.37,1.81,1.55
84,New Brunswick,5.01,3.46,1.56
91,New Brunswick,6.35,4.79,1.56
98,New Brunswick,10.26,8.7,1.56
105,New Brunswick,14.19,12.62,1.57
112,New Brunswick,17.38,15.36,2.02
119,New Brunswick,23.37,20.96,2.41
126,New Brunswick,28.06,24.96,3.09
133,New Brunswick,31.22,27.74,3.48
140,New Brunswick,35.54,31.67,3.87
147,New Brunswick,41.38,37.1,4.27
154,New Brunswick,49.5,44.79,4.72
161,New Brunswick,55.29,50.06,5.23
