"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Newfoundland and Labrador,0.19,0.19,0
7,Newfoundland and Labrador,0.34,0.34,0
14,Newfoundland and Labrador,0.34,0.34,0
21,Newfoundland and Labrador,0.55,0.38,0.16
28,Newfoundland and Labrador,0.81,0.48,0.33
35,Newfoundland and Labrador,1.43,1.09,0.33
42,Newfoundland and Labrador,1.6,1.07,0.53
49,Newfoundland and Labrador,1.7,0.92,0.78
56,Newfoundland and Labrador,1.88,0.83,1.04
63,Newfoundland and Labrador,2,0.83,1.17
70,Newfoundland and Labrador,3.18,1.61,1.57
77,Newfoundland and Labrador,4.04,2.29,1.75
84,Newfoundland and Labrador,5.25,3.48,1.77
91,Newfoundland and Labrador,7.45,5.62,1.83
98,Newfoundland and Labrador,9.81,7.97,1.85
105,Newfoundland and Labrador,15.08,13.23,1.85
112,Newfoundland and Labrador,19.27,17.41,1.85
119,Newfoundland and Labrador,23.52,21.67,1.85
126,Newfoundland and Labrador,28.24,26.38,1.86
133,Newfoundland and Labrador,32.81,30.96,1.85
140,Newfoundland and Labrador,37.08,35.23,1.85
147,Newfoundland and Labrador,43.24,41.35,1.89
154,Newfoundland and Labrador,49.83,47.83,2
161,Newfoundland and Labrador,55.55,53.36,2.19
