"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Nova Scotia,0.11,0.11,0
7,Nova Scotia,0.23,0.23,0
14,Nova Scotia,0.28,0.28,0
21,Nova Scotia,0.28,0.17,0.11
28,Nova Scotia,0.59,0.36,0.23
35,Nova Scotia,0.85,0.57,0.28
42,Nova Scotia,1.23,0.96,0.28
49,Nova Scotia,1.31,0.79,0.52
56,Nova Scotia,1.5,0.68,0.82
63,Nova Scotia,1.52,0.68,0.84
70,Nova Scotia,2.02,0.73,1.29
77,Nova Scotia,2.55,1.08,1.47
84,Nova Scotia,3.26,1.62,1.65
91,Nova Scotia,4.17,2.12,2.05
98,Nova Scotia,6.6,4.12,2.48
105,Nova Scotia,8.56,5.54,3.02
112,Nova Scotia,11.93,8.75,3.18
119,Nova Scotia,17.76,14.44,3.32
126,Nova Scotia,24.36,20.8,3.55
133,Nova Scotia,28.98,25.24,3.74
140,Nova Scotia,33.3,29.45,3.85
147,Nova Scotia,39.67,35.67,4
154,Nova Scotia,47.07,42.83,4.23
161,Nova Scotia,54.92,50.48,4.44
