"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Northwest Territories,0,0,0
7,Northwest Territories,0,0,0
14,Northwest Territories,0.27,0.27,0
21,Northwest Territories,1.13,1.13,0
28,Northwest Territories,4.19,4.19,0
35,Northwest Territories,20.97,20.97,0
42,Northwest Territories,27.09,26.83,0.26
49,Northwest Territories,28.41,27.75,0.66
56,Northwest Territories,30.06,28.78,1.28
63,Northwest Territories,32.14,27.86,4.28
70,Northwest Territories,33.69,23.6,10.09
77,Northwest Territories,37.76,13.07,24.69
84,Northwest Territories,43.58,16.15,27.43
91,Northwest Territories,48.95,19.54,29.41
98,Northwest Territories,52.51,21.66,30.85
105,Northwest Territories,53.36,21.32,32.04
112,Northwest Territories,54.78,18.31,36.47
119,Northwest Territories,56.17,13.51,42.67
126,Northwest Territories,57.24,10.87,46.37
133,Northwest Territories,58.3,10.31,47.99
140,Northwest Territories,60.46,10.64,49.82
147,Northwest Territories,62.78,11.95,50.83
154,Northwest Territories,63.96,12.28,51.67
161,Northwest Territories,65.46,12.53,52.93
