"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Nunavut,0,0,0
7,Nunavut,0,0,0
14,Nunavut,0,0,0
21,Nunavut,0.05,0.05,0
28,Nunavut,5.44,5.44,0
35,Nunavut,11.3,11.3,0
42,Nunavut,13.88,13.88,0
49,Nunavut,14.83,14.11,0.73
56,Nunavut,16.51,11.08,5.42
63,Nunavut,17.72,7.28,10.44
70,Nunavut,18.79,5.88,12.91
77,Nunavut,23.36,9.49,13.87
84,Nunavut,26.11,10.77,15.34
91,Nunavut,30.13,13.7,16.43
98,Nunavut,33.39,15.97,17.42
105,Nunavut,34.09,12.91,21.18
112,Nunavut,34.89,10.84,24.05
119,Nunavut,36.22,8.44,27.78
126,Nunavut,38.52,7.57,30.95
133,Nunavut,40.78,8.95,31.83
140,Nunavut,41.71,8.99,32.72
147,Nunavut,42.46,8.65,33.8
154,Nunavut,43.27,7.42,35.85
161,Nunavut,43.78,5.81,37.97
