"Days since December 19, 2020",Province,%1dose,%partially,%full
28,Ontario,1.28,1.21,0.07
35,Ontario,1.69,1.48,0.21
42,Ontario,1.84,1.37,0.47
49,Ontario,1.88,1.19,0.69
56,Ontario,1.99,0.8,1.19
63,Ontario,2.17,0.58,1.6
70,Ontario,2.89,1.11,1.78
77,Ontario,4.2,2.36,1.84
84,Ontario,5.94,4,1.94
91,Ontario,8.32,6.29,2.03
98,Ontario,11.35,9.25,2.1
105,Ontario,14.74,12.55,2.18
112,Ontario,19.06,16.8,2.26
119,Ontario,23.71,21.37,2.35
126,Ontario,28.97,26.53,2.45
133,Ontario,33.61,31.06,2.55
140,Ontario,39.05,36.39,2.67
147,Ontario,45.05,42.14,2.92
154,Ontario,51.16,47.54,3.61
161,Ontario,56.32,51.64,4.68
