"Days since December 19, 2020",Province,%1dose,%partially,%full
7,Prince Edward Island,0.72,0.72,0
14,Prince Edward Island,1.05,1.05,0
21,Prince Edward Island,1.55,1.55,0
28,Prince Edward Island,2.69,1.82,0.87
35,Prince Edward Island,3.26,2.08,1.18
42,Prince Edward Island,3.31,1.7,1.61
49,Prince Edward Island,3.32,1.12,2.2
56,Prince Edward Island,3.56,0.5,3.07
63,Prince Edward Island,4.04,0.81,3.23
70,Prince Edward Island,4.61,1.35,3.27
77,Prince Edward Island,5.43,1.98,3.45
84,Prince Edward Island,6.51,3,3.51
91,Prince Edward Island,8.14,4.62,3.52
98,Prince Edward Island,9.58,5.57,4.01
105,Prince Edward Island,12.41,7.64,4.77
112,Prince Edward Island,16.48,10.99,5.49
119,Prince Edward Island,20.9,14.91,5.99
126,Prince Edward Island,24.76,18.32,6.44
133,Prince Edward Island,28.43,21.77,6.66
140,Prince Edward Island,32.95,26.1,6.85
147,Prince Edward Island,38.92,31.56,7.36
154,Prince Edward Island,44.68,36.98,7.7
161,Prince Edward Island,49.99,41.58,8.41
