"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Quebec,0.06,0.06,0
7,Quebec,0.2,0.2,0
14,Quebec,0.33,0.33,0
21,Quebec,0.97,0.97,0
28,Quebec,1.7,1.7,0
35,Quebec,2.55,2.55,0
42,Quebec,2.79,2.79,0
49,Quebec,3,3,0
56,Quebec,3.43,3.43,0
63,Quebec,4.03,4.03,0
70,Quebec,5.04,5.04,0
77,Quebec,6.39,6.39,0
84,Quebec,8.33,8.33,0
91,Quebec,11.03,11.03,0
98,Quebec,14.21,14.21,0
105,Quebec,17.78,17.78,0
112,Quebec,21.88,21.88,0
119,Quebec,27.17,27.17,0
126,Quebec,32.43,32.43,0
133,Quebec,36.26,35.05,1.22
140,Quebec,41.27,39.23,2.04
147,Quebec,47.5,43.37,4.13
154,Quebec,53.67,48.46,5.21
161,Quebec,59.21,52.7,6.51
