"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Saskatchewan,0.09,0.09,0
7,Saskatchewan,0.15,0.15,0
14,Saskatchewan,0.3,0.3,0
21,Saskatchewan,0.47,0.39,0.08
28,Saskatchewan,1.21,1.06,0.15
35,Saskatchewan,2.01,1.8,0.21
42,Saskatchewan,2.31,2.05,0.26
49,Saskatchewan,2.52,2.07,0.46
56,Saskatchewan,2.79,1.98,0.81
63,Saskatchewan,3.2,1.85,1.35
70,Saskatchewan,3.93,1.94,1.99
77,Saskatchewan,4.79,2.47,2.32
84,Saskatchewan,5.91,3.5,2.41
91,Saskatchewan,8.58,5.98,2.6
98,Saskatchewan,11.42,8.34,3.08
105,Saskatchewan,15.48,12.15,3.32
112,Saskatchewan,21.17,17.65,3.52
119,Saskatchewan,26.25,22.61,3.64
126,Saskatchewan,30.54,26.85,3.69
133,Saskatchewan,34.51,30.74,3.78
140,Saskatchewan,40.87,36.93,3.93
147,Saskatchewan,47.02,42.88,4.14
154,Saskatchewan,51.3,46.37,4.93
161,Saskatchewan,54.49,47.44,7.06
