"Days since December 19, 2020",Province,%1dose,%partially,%full
0,Yukon,0,0,0
7,Yukon,0,0,0
14,Yukon,0,0,0
21,Yukon,1.18,1.18,0
28,Yukon,3.11,3.11,0
35,Yukon,9.39,9.39,0
42,Yukon,17.49,17.49,0
49,Yukon,24.84,23.7,1.14
56,Yukon,25.03,22.96,2.06
63,Yukon,25.24,22.65,2.59
70,Yukon,26.06,14.64,11.42
77,Yukon,34.64,14.2,20.43
84,Yukon,45.6,20.96,24.64
91,Yukon,52.66,27.75,24.91
98,Yukon,54.76,29.17,25.59
105,Yukon,55.68,26.82,28.86
112,Yukon,56.77,16.87,39.89
119,Yukon,57.83,10.03,47.8
126,Yukon,59.02,7.82,51.19
133,Yukon,59.91,6.8,53.11
140,Yukon,61.19,6.93,54.26
147,Yukon,62.4,7.15,55.26
154,Yukon,63.37,6.98,56.39
161,Yukon,64.09,6.69,57.4
